step,train_loss,val_loss,lr,grad_norm,elapsed_s,tokens
360,4.092236,,0.00294715,0.408173,817.0,1478656
361,4.087725,,0.00294665,0.418267,819.4,1482752
362,4.045232,,0.00294614,0.428382,821.3,1486848
363,4.105498,,0.00294564,0.411406,822.9,1490944
364,3.968219,,0.00294513,0.421218,824.3,1495040
365,4.211920,,0.00294462,0.417607,825.7,1499136
366,4.023839,,0.00294411,0.431211,827.3,1503232
367,4.058259,,0.00294359,0.437231,829.1,1507328
368,4.062447,,0.00294307,0.443928,830.5,1511424
369,3.987569,,0.00294256,0.499145,831.9,1515520
370,4.103321,,0.00294203,0.436166,833.2,1519616
371,4.122412,,0.00294151,0.487149,834.6,1523712
372,3.943769,,0.00294098,0.472627,836.2,1527808
373,4.013365,,0.00294045,0.494805,837.9,1531904
374,3.980324,,0.00293992,0.409620,839.4,1536000
375,4.171675,,0.00293939,0.438697,841.1,1540096
376,3.953343,,0.00293885,0.523265,842.5,1544192
377,3.995071,,0.00293831,0.453268,844.0,1548288
378,4.006625,,0.00293777,0.457466,845.4,1552384
379,4.046601,,0.00293723,0.456974,846.9,1556480
380,4.164214,,0.00293669,0.436182,848.5,1560576
381,4.125281,,0.00293614,0.463584,850.1,1564672
382,4.110312,,0.00293559,0.480430,851.6,1568768
383,4.074423,,0.00293504,0.433470,853.0,1572864
384,4.032985,,0.00293448,0.482941,854.4,1576960
385,3.997470,,0.00293393,0.426821,855.9,1581056
386,3.968863,,0.00293337,0.417580,857.4,1585152
387,4.008222,,0.00293281,0.459170,858.8,1589248
388,3.964902,,0.00293224,0.434012,860.3,1593344
389,4.055002,,0.00293168,0.416124,861.8,1597440
390,4.053870,,0.00293111,0.427560,863.3,1601536
391,4.036289,,0.00293054,0.452107,864.6,1605632
392,3.990526,,0.00292997,0.413151,866.1,1609728
393,4.036232,,0.00292939,0.427494,868.0,1613824
394,4.032243,,0.00292881,0.419758,869.4,1617920
395,4.085177,,0.00292823,0.414973,870.8,1622016
396,3.952927,,0.00292765,0.535579,872.5,1626112
397,4.019624,,0.00292707,0.416402,874.0,1630208
398,3.904594,,0.00292648,0.498740,875.5,1634304
399,4.015978,,0.00292589,0.412733,876.8,1638400
400,4.058393,4.167367,0.00292530,0.408018,888.0,1642496
401,3.939359,,0.00292471,0.444690,889.4,1646592
402,4.058604,,0.00292411,0.447974,891.0,1650688
403,3.983750,,0.00292352,0.444001,892.6,1654784
404,4.110016,,0.00292292,0.436724,894.0,1658880
405,3.952135,,0.00292231,0.450528,895.5,1662976
